url,title,price,short_description,full_description
http://www.amazon.com/Feit-917972-Electric-Utility-Light/dp/B00LFAY5SM,Feit 917972 Electric LED Utility Shop Light,$49.00," Feit electric LED utility shop light
 Perfect for garages, basements, game rooms, utility rooms, workshops, cabinets, closets and attics
 Includes: two 6 in (15 cm) hanging cables, two mounting screws for flush mount installation, and isn't","Feit electric LED utility shop light. Feit electric LED utility shop light. Perfect for garages, basements, game rooms, utility rooms, workshops, cabinets, closets and attics. Includes: two 6 in (15 cm) hanging cables, two mounting screws for flush mount installation, and inst. ."
http://www.amazon.com/Black-Light-Plugin-Fixture-LED/dp/B00P8BM9CS,Black 48W 4 Ft. Shop Light Plugin Fixture/ LED T8 6500k - Replacement for (4) 32W Fluorescent Bulbs - 30% Brighter Than 18W LED Bulbs,$69.99," 4 Ft. Fixture- 24 Watts (48 Watt Total)
 3000 Lumen (6000 Lumen Total)
 6500 Kelvin
 LED Chip Model: SMD2835
 LED Quantity: 120pcs per bulb",This is a black shop light fixture with a set of 2 LED T8 24 Watt Bulbs included (48 Watt Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs.These bulbs work as an Eco-friendly and cost efficient replacement for four 32-48 Watt (128w- 192w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed.
http://www.amazon.com/America-Shoplight-Aluminum-housing-included/dp/B00UTX4HJS,"Light of America LED Utility Shoplight 40 watt 4200 Lumen 48"" (4 feet) with pull On/Off. One piece Aluminum housing. Hanging hardware (chain) included.",$49.29," Lasts 45 years when used 3 hours a day, 365 days a year. Save energy costs. Perfect for garages, basements, game rooms, utility rooms, work shops, cabinets, closets, attics, and more
 No mercury, No humming, Instant full brightness. Electronic driver.
 Sturdy one piece Aluminum housing. White reflective interior. Hanging chain and hardware included. 5 foot long 3 prong grounded cord.
 5 year warranty.","This HIGH POWER LED Shop Light includes 120 bright white LEDs and is suitable for indoor use. Ideal for residential and commercial use to provide lighting for garages and work spaces. Uses only 40 Watts Benefits: -Pull Chain Operation -Eco-Friendly -No Radiated Heat -Long Life -Energy Saving -Reflective Housin -Quick and Easy Installation within 20 minutes -No Bulb Replacement Needed -Includes hanging chain, hardware, and 5 foot 3 prong cord (grounded) -Mercury Free -Full Brightness (Instant) Specifications: Watts Used: 40 Incandescent Equiv.: N/A Size: 46.5"" x 6"" x 2.75"" Color Temp: 5,000K Output: 4200 Lumens CRI: 86 Efficacy/Lumens Per Watt: 105 Rated Life: 50,000 Hours Warranty: 5 Year Limited"
http://www.amazon.com/Hyperikon-Integrated-Double-Fixture-Equivalent-Corded-electric/dp/B012ENQZ1I,"Hyperikon Utility LED Shop Light, 4FT Integrated LED Double-Fixture, 38W (100W Equivalent), 3800 Lumens, 5000K (Crystal White Glow), Frosted Cover, Corded-electric",$45.50," The corded electric LED Shop light makes the installation very easy and hassle-free. Simply choose your preferred location for the shop light, hang it up and insert the plug to light it on. Comes with integrated built-in on/off switch.
 LED Utility Shop lights are ideal for garages, workshops, industrial workstation, storage rooms, equipment rooms and other close task and large area lighting requirements.
 With a lumen output of 3800 and a kelvin temperature of 5000K, you are guaranteed to get the best possible lighting for your needs. That is a staggering 100lm/W!
 Lifetime of more than 50,000+ hours and backed by a 5 year unlimited warranty. Hyperikon® LED Utility Shop Light Fixtures give you maintenance-free and long-lasting LED light for many years to come.","Introducing the Hyperikon® LED Utility Shop Light - A double integrated LED fixture
Hyperikon's LED Utility shop lights provide high performance, long life and energy savings in a simple, no-frills conventional looking fixture. Hyperikon fixtures lights bring the latest solid-state LED technology to the market with the use of our own patent pending Helios technology, which provides a true lighting experiencing in terms of both ambiance and appearance. The LED Double fixture is guaranteed to provide you better, cheaper and healthier lighting than conventional fluorescent light and can easily be replaced with any existing fixtures. Your 100% satisfaction is our number one priority and should you for any reason not be happy with your LED shop light, we will provide you with a prepaid return label and a FULL refund on your order.
Box Includes: 2 x 6"" suspension wires, two mounting screws and 2 x S-hooks.
 
Common Applications:
· Garages
· Workshops
· Basements
· Work Areas
· Utility and Recreation Rooms
Features:
· Save up to 62% on your electricity bill
· Provides a stunning 3800 lumens
· Instant-On and hassle free installation for your convenience. Simply plug and play!
· Commercial and Industrial Grade
· Rugged steel housing for durability and long life.
· Hyperikon® is a California bestseller with a proven track record"
http://www.amazon.com/Garage-Hanging-Light-Fixture-Chain/dp/B00X65TXEU,Grey Garage 4 Ft. 96 Watt High Bay Hanging 4 Light Shop Light Plug In T8 Fixture w Pull Chain - 4X 24W LED Tubes- 6500K - Replaces (8) 32W Fluorescent Bulbs,$129.99," 3000 Lumen (12000 Total)
 6500 Kelvin
 0.2 Watts Per Bulb
 No Ballast To Replace","This is a high bay ceiling fixture with 4 LED T8 24 Watt Bulbs included (96w Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs. This fixture is ideal for garages, utility and work areas requiring additional task lighting. These bulbs work as an Eco-friendly and cost efficient replacement for (8) 32 - 48 Watt (256w - 384w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed."
http://www.amazon.com/Foot-neiLite-Replacement-Fluorescent-Fixtures/dp/B00DY8IAH0,8 Foot neiLite LED Replacement Bulb for Fluorescent Fixtures,$68.88," Efficient, Less Irritation & Bright Light
 Operates 85-265 Volts
 Frosted Cover for better Dispersion
 Requires Slight Rewiring, but Wire Nuts & Instructions Included","8 foot LED Light for replacement of fluorescent tubes. Requires minor rewiring to bypass ballast. THIS LIGHT TURNS ON WHEN YOU FLIP THE SWITCH. A simple, bright and more efficient replacement for existing fluorescent light bulbs. Try Just One Pair and You Will Never Go Back to your annoying fluorescent. NOTE: All bulbs in the fixture must be changed to Nature's Electric LED bulbs. You cannot mix fluorescent and LED bulbs in a fixture. NOTE: Requires rewiring the fixture to bypass the ballast. Wire Nuts and Instructions included."
http://www.amazon.com/Heavy-Duty-Hanging-Light-Fixture-Chain/dp/B00PR8U1UO,Grey 4 Ft. 96 Watt Heavy-Duty High Bay Hanging 4 Light Shop Light Plug In T8 Fixture with Pull Chain - Wire Guard - External Convenience Outlet - Links Multiple Fixtures - 4X 24W LED Tubes- 6500K,$129.99," 3000 Lumen (12000 Total)
 6500 Kelvin
 0.2 Watts Per Bulb
 No Ballast To Replace","This is a high bay ceiling fixture with 4 LED T8 24 Watt Bulbs included (96w Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs. This fixture is ideal for garages, utility and work areas requiring additional task lighting. These bulbs work as an Eco-friendly and cost efficient replacement for (8) 32 - 48 Watt (256w - 384w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed."
http://www.amazon.com/Industrial-Fixture-Equivalent-Fluorescent-Brighter/dp/B00QAMVFYC,8 ft. Industrial Retail Flush Mount 4 Light T8 Fixture w/ 4X 24W LED Tubes 96W Total 6500k Equivalent to 256W Fluorescent Fixture 30% Brighter Than 18W LED Bulbs,$124.99," 3000 Lumen (12000 Total)
 6500 Kelvin
 0.2 Watts Per Bulb
 LED Chip Model: SMD2835",This 8 ft. flush mount ceiling fixture comes with 4 LED T8 24 Watt Bulbs included (96 Watt Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs.These bulbs work as an Eco-friendly and cost efficient replacement for (8) 32-48 Watt (256w- 384w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed. No ballast to replace!!!
http://www.amazon.com/1-light-Flush-mount-Ceiling-Fixture-Brighter/dp/B00OABZLGS,White 4-foot 1-light Flush-mount Ceiling Light Fixture with 1 LED T8 24 Watt Tube 30% Brighter than 18w LEDs,$35.95," Includes 1 LED T8 24 watt light bulb tube, non-dimable, 3000 Lumens
 Instant-on fixture
 Flush-mount, 4 foot long fixture
 Easy installation, hard wired","This is a Flush-Mount ceiling fixture with 1 LED T8 24 Watt Bulb included. These LEDs are 30% brighter than the standard 18 Watt LED bulbs. These bulbs work as an Eco-friendly and cost efficient replacement for your 32 - 48 Watt Fluorescent T8 bulbs. Very bright and energy efficient. Chip Model: SMD2835. Creates little heat and no UV or IR light radiation. Bulbs rated for 50,000 hours of use. No ballast needed."
http://www.amazon.com/White-4-foot-2-light-Shoplight-LED/dp/B00N4709PM,White 4-foot 2-light Shoplight with 2x LED T8 24 Watt Tubes,$69.95," 4 FT LED SHOP LIGHT
 6,000 LUMENS
 6500 KELVIN
 ACCESSORIES FOR HANGING INCLUDED
 NO BALLAST TO EVER REPLACE!!!",This is a white shop light ceiling fixture with a set of 2 LED T8 24 Watt Bulbs included (48 Watt Total). These LEDs are 30% brighter than the standard 18 Watt LED bulbs.These bulbs work as an Eco-friendly and cost efficient replacement for four 32-48 Watt (128w- 192w Total) Fluorescent T8 bulbs. This fixture requires no modifications at all. All of the necessary conversions have been completed.
