url,title,price,short_description,full_description
http://www.amazon.com/Flexible-Lights-Daylight-Non-waterproof-Lighting/dp/B00HSF65MC,"LE 12V DC Flexible LED Strip Lights, 16.4ft/5m LED Light Strips, Daylight White, 300 Units 3528 LEDs, Non-waterproof, Lighting Strips, LED Tape",$6.99," Easy Installation. Self-adhesive back with adhesive tape for safe and easy application.
 Safe to use. The working voltage is 12V. extremely low heat. It is touchable and safe to children.
 Cuttable and linkable. Easy to cut and use with Lighting EVER accessory (include). It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips.
 Flexible operations. Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows.
 Reduce re-lamp frequency. Lifespan is over 50000 hrs. Save effort and maintenance costs on changing lights frequently.","Please Note:

1. Neon Mart is the only legally authorized seller on amazon, and the products from other sellers are all unlawful reproduction. 

2. A power adapter is required but not included, Please search 'Lighting EVER 5000028/B019Q3U72M' on Amazon if you need one. 


Color: Daylight White 

Size of LEDs:  3528 

Lenth of a tape:  16.4ft 

LEDs Quantity:  300 

Working Voltage:  12V DC 

Waterproof:  No 

Safe to use.  The working voltage is 12V. Extremely low heat. It is touchable and safe to children. 

Cuttable and linkable.  Easy to cut and use with Lighting EVER accessory. It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips. 

Flexible operations.  Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows. 

Reduce re-lamp frequency.  Lifespan is over 50000 hrs. Save effort and maintenance costs on changing lights frequently. 

Eco-friendly. RoHS compliant.  No battery. No lead or mercury. No UV or IR Radiation. 

Accessories included Strip connectors and DC cable. 

Accessories optional (not included) 
 Remote controller for dimmable feature. Please search 'Lighting EVER 5000008' on Amazon. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/SUPERNIGHT-5-Meter-Waterproof-Flexible-Changing/dp/B00ASHQQKI,SUPERNIGHT 5-Meter Waterproof Flexible Color Changing RGB SMD5050 300 LEDs Light Strip Kit with 44 Key Remote and 12V 5A Power Supply,$24.88," Voltage: DC12V
 Can cut each 3leds sections
 Color: RGB 5050SMD RGB reel flexible board","Specifications:
-Led Strip
-Color: RGB 
-LED Type: 5050 PLCC-6 SMT SMD LED (IP65 Waterproof) 
-LED Quantity: 300 leds/5 Meter or 60 leds/Meter
-Size: L500cm (5M) x W1.4cm x T0.3cm 
-Package: 1 X 5 Meters / Roll
-View angle:120°
-Working Input Voltage: 12VDC
-Output power: 72W /5 Meter 
-Working Tempreture:-20° to 50°
-Drive Mode:Contant Voltage 
44Key Remote Controller
-Type:44Key Remote Controller 
- Connection mode: Common Anode(+)
- Input/Output: 12V
- Max load current: 2A each color
- Output: three CMOS drain-open output
- Working Temperature: -20°C-60°C
- Mode & Pattern: 
-Color:20 Colors
8 Light Pattern: Quick / Slow / Auto / Flash / 7 color fade change / 3 color fade change / 7 color jumpy change / 3 color jumpy change R / G / B increase and decrease control 
6 DIY keys Please refer to English manual to get detailed operation
- 44 keys infrared controller which has 6 keys(DIY keys) for momories the colors what you preferred. 
Features: 
*Low power consumption,Super-bright but running with low temperature
*All the light spread and completely smooth,luminous very even
*Every 3-LEDS cuttable without damaging the rest strips, according to your requirement
*Self-adhesive back with Adhesive tape for secure and easy application
*LED Type: High Quality 5050 SMD LED, high intensity and reliability, Long lifespan >50,000 hours
Package Contect: 
1x 5 meter (500CM) 5050 RGB 300leds Flash SMD LED. 

1x IR Control Box 

1x 44 key remote control 

1x Power Supply"
http://www.amazon.com/Triangle-Bulbs-T93007-Waterproof-Flexible/dp/B005EHHLD8,"Triangle Bulbs T93007 - Waterproof Flexible LED Strip Light, 300 LED's, 3528 SMD, Pure White, 16.4 feet / 5M",$8.81," 12 VDC Super bright Waterproof Cool White 3528 SMD LED strip
 Length:16.4 ft./5 Meter 300 LED lights per reel. Allowable cut every 3 LED lights
 Easy and flexible installation. Ideal for home and business lighting decoration.
 Comes with 3M adhesive sticky backing
 High brightness, wide angle LED chip. Low power consumption - Only 4.8W/m LIfe: 50,000 hours
 MANUFACTURER's NOTE: Be sure to check where this item ships from - non-US based vendors are not shipping authentic Triangle Bulbs items. Make sure shipping times are less than 10 days.","Pack of 1 Triangle Bulbs T93007-1 LED Strip Light. These strips are 25 watts, have 300, 3528 SMD, individual LED units along the strip, and can be separated (cut) at every 3rd SMD interval without damaging the rest of the strip.These lights are pure white and the strip is IP65 waterproof. The strip is self-adhesive with double-sided tape. The strip is 5 meters, or 16.4 feet in length and is for both indoor and outdoor use."
http://www.amazon.com/Flexible-Lights-16-4ft-Non-waterproof-Lighting/dp/B00HSF64JG,"LE 12V DC Flexible LED Strip Lights, 16.4ft/5m LED Light Strips, Warm White, 300 Units 3528 LEDs, Non-waterproof, Lighting Strips, LED Tape",$6.99," Easy Installation. Self-adhesive back with adhesive tape for safe and easy application.
 Safe to use. The working voltage is 12V. extremely low heat. It is touchable and safe to children.
 Cuttable and linkable. Easy to cut and use with Lighting EVER accessory (include). It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips.
 Flexible operations. Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows.
 Reduce re-lamp frequency. Lifespan is over 50000 hrs. Save effort and maintenance costs on changing lights frequently.","Please Note:

1. Neon Mart is the only legally authorized seller on amazon, and the products from other sellers are all unlawful reproduction. 

2. A power adapter is required but not included, Please search 'Lighting EVER 5000028/B019Q3U72M' on Amazon if you need one. 


Color: Warm White 

Size of LEDs:  3528 

Lenth of a tape:  16.4ft 

LEDs Quantity:  300 

Working Voltage:  12V DC 

Waterproof:  No 

Safe to use.  The working voltage is 12V. Extremely low heat. It is touchable and safe to children. 

Cuttable and linkable.  Easy to cut and use with Lighting EVER accessory. It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips. 

Flexible operations.  Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows. 

Reduce re-lamp frequency.  Lifespan is over 50000 hrs. Save effort and maintenance costs on changing lights frequently. 

Eco-friendly. RoHS compliant.  No battery. No lead or mercury. No UV or IR Radiation. 

Accessories included Strip connectors and DC cable. 

Accessories optional (not included) 
 Remote controller for dimmable feature. Please search 'Lighting EVER 5000008' on Amazon. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/Power-Adaptor-Transformers-Supply-Strip/dp/B00DKSI0S8,"LE Power Adaptor, Transformers, Power Supply For LED Strip, 12V, 3A Max, 36 Watt Max",$8.99," Output Voltage. 12 V DC. It works with Lighting EVER LED strips
 Max Current. 3A
 This item is power adapter (transformer) of Low Voltage Single colour or RGB LED strip lights.
 US Plug","Input Voltage. 100 - 240V AC 

Output Voltage. 12 V DC. 

Max Current. 3A 

Max Wattage: 36W 

US Plug 

This item is power adapter (transformer) of Low Voltage Single colour or RGB LED strip lights. 

Please be kindly informed that the total wattage of LED strip lights should not exceed the max wattage of this adaptor. 

If you would like a 6A, and 72 Wattage LED strip light adapter, please search ""Lighting EVER 5000030"" on Amazon. 

For configurable options on LED Strips, please search ""Lighting EVER 12V LED Strips"" on Amazon. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/Remote-Controller-Wireless-Control-Dimmable/dp/B00MHKCTLE,"LE Mini Remote Controller for Single Color LED Strip Lights, RF Dimmer for 12 V DC LED Light Strips, 12A, Wireless Remote Control for all Dimmable 3528 5050 LED Strip",$5.45," Voltage: 12 V DC
 Current: 12000 mA
 Remote: RF wireless remote
 Can be used to control LED single color strip lights.
 Mini size: easy to install in narrow ceilling","Please Note:

1. Neon Mart is the only legally authorized seller on amazon, and the products from other sellers are all unlawful reproduction. 


Mini size: easy to install in narrow ceilling 

Input Voltage. 12V DC. 

Current: 12A (max) 

Remote distance: >8 m. 

Remote control mode: RF Wireless 

Can be used to control LED single colour low voltage strip lights. 

For configurable options on LED Strips, please search ""Lighting EVER 12V LED Strips""on Amazon. 

About LE 
 Lighting EVER, abbreviated to LE, focuses on creating the best lighting experience. 
 Only high end LED and advanced optical design are adopted. Enjoy lighting with LE."
http://www.amazon.com/SUPERNIGHT-Waterproof-300LEDs-Flexible-Controller/dp/B00B2F3KDQ,SUPERNIGHT 16.4FT SMD 5050 Waterproof 300LEDs RGB Flexible LED Strip Light Lamp + 44Key IR Remote Controller,$13.22," 300LED Diodes per Reel, Double side adhesive on back for pasting
 12V Super Bright SMD 5050 than 3528 Single Chip
 Length: 5M or 16ft. Thickness: 0.1inch. Width: 0.4inch. IP65 Waterproof
 RGB Color, 12V DC Input Voltage, Cuttable Every 3 LEDs
 Easy and Flexible installation. Ideal for home and business light decoration","Specification: 

 * LED type: SMD 5050 
 * Length: 16.4FT (5M) 
 * LED Quantity: 300LEDs / 16.4FT 
 * Color: RGB 
 * Beam angle: 120 degrees 
 * Input voltage: 12V DC 
 * Working Temperature: -20°to 50° 
 * Size: L16.4ft * W 0.40inch * T 0.10inch 
 * Protection Rate: IP65 Waterproof 
 * Can be cut 3 LEDs per Unit 

 Application: 

 * Widely used for home decoration, hotels, clubs, shopping mails 
 * Architectural decorative lighting, boutique atmosphere lighting 
 * Extensively applied in Back Lighting, concealed lighting, channel letter lighting 
 * Emergency & security lighting, advertisement sign lighting 
 * Decorative lights for holiday, event, show exhibition 
 * Applicable for automobile and bicycle decoration, border or contour lighting 

 Package included: 

 * 16.4FT 5 Meter 5050 SMD LED Strip 

 * 1x 44Key IR Remote 

 * 1x Receiver Box"
http://www.amazon.com/SUPERNIGHT-Changing-Flexible-Remote-Control/dp/B00BP4DUMU,SUPERNIGHT (TM) 5M/16.4 Ft SMD 3528 RGB 300 LED Color Changing Kit with Flexible Strip Light+24 Key IR Remote Control+ Power Supply,$11.97," Every 3-LEDS cuttable without damaging the rest strips, according to your requirement
 High Quality 3528 SMD LED, high intensity and reliability, Long lifespan
 Completely smooth and even light spread, solving the uneven luminous problem with a chain of fluorescent tubes
 Environmental friendly: Low carbon, no radiation, no flicker, and no pollution to human and environment. Safe and stable.","Applications:  
 
- Widely used for home, hotels, clubs, shopping malls.   
- Holiday, event, show exhibition decoration.   
- Auditorium walk stairway lighting, Hidden groove, Wine cabinet Decor 
- Amusement park, theater and aircraft cabin mood lighting 
- Applicable for automobile, boat and bicycle decoration
- DIY Decoration, whatever and wherever you like! 
 
 
Specifications: 
 
-            LED type: SMD 3528
-            LED quantity: 300 LED
-            Strip length: 5m(16.4ft ) 
-            Light color: RGB (Red Green Blue) Flash SMD LED
-            Viewing angle: 120°
-            Consumption: 2.4W/m
-            Input: DC 12V
-            Storage temperature: -40 ~ +80
-            Operating temperature: -25 ~ +60
-            Lumens: 900LM
-            Lifetime: 50,000+ hours 
-            Size: W10*H2mm
-            Level : Non-Waterproof
-            Power Supply: AC/DC ADAPTOR  INPUT 100-240V 0.5A  OUTPUT 12V  2.0A
 
Note:  
 
-            Installation environment must be smooth, clean and dry. 
-            The part of LED components can not be fixed on the surface of the sharp edge.   
-            Please follow the cutting line when you need to cut the light ribbon. 
-            Power Supply/Control Box/IR Remote Control are Not included. 
-            No longer than 5m when it is used in a DC series circuit.  
 
 
Package included:  
 
-  1 x 5 Meter 3528 SMD RGB LED Strip Light
-  1 x 24 K IR Remote Control 
-  1 x 12 V 2 A Power Supply"
http://www.amazon.com/Waterproof-Flexible-Lights-3528-Daylight/dp/B00HSF66JO,"LE® Waterproof Flexible LED Strip Lights, 300 Units 3528 LEDs, 16.4ft 12V, 6000K Daylight White, LED Tape, Light Strips, Pack of 16.4ft/5m",$8.59," Easy Installation. Self-adhesive back with adhesive tape for safe and easy application.
 Waterproof. IP65, ideal for both interior and exterior decoration
 Safe to use. The working voltage is 12V. extremely low heat. It is touchable and safe to children.
 Cuttable and linkable. Easy to cut and use with Lighting EVER accessory (include). It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips.
 Flexible operations. Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows.","Please Note:

1. Neon Mart is the only legally authorized seller on amazon, and the products from other sellers are all unlawful reproduction. 

2. A power adapter is required but not included, Please search 'Lighting EVER 5000028/B019Q3U72M' on Amazon if you need one. 


Color:Daylight White 

Size of LEDs:  3528 

Lenth of a tape: 16.4ft 

LEDs Quantity: 300 

Working Voltage: 12V DC 

Safe to use.  The working voltage is 12V. Extremely low heat. It is touchable and safe to children. 

Cuttable and linkable.  Easy to cut and use with Lighting EVER accessory. It can be cut every 3 LEDs along the cutting marks, without damaging the rest strips. 

Waterproof: IP65 

Flexible operations.  Slim, compact and flexible PCB strip. Mount end-to-end for bendable or angled patterns, or in continuous rows. 

Reduce re-lamp frequency.  Lifespan is over 50000 hrs. Save effort and maintenance costs on changing lights frequently. 

Eco-friendly. RoHS compliant.  No battery. No lead or mercury. No UV or IR Radiation. 

Accessories included
Strip connectors and DC cable. 

Accessories optional (not included) 
 Remote controller for dimmable feature. Please search 'Lighting EVER 5000008' on Amazon. 

Applications
You will be thrilled with the color and brightness output of this 3528 LED strips. It can be add to residential design, architecture curtain wall, outdoor advertising, public sign and other fields."
http://www.amazon.com/SUPERNIGHT-Waterproof-Flexible-300leds-Changing/dp/B00ASHP1CM,SUPERNIGHT (TM) 16.4ft 5M Waterproof Flexible 300leds Color Changing RGB SMD5050 LED Light Strip Kit RGB 5M +24Key Remote+12V Power Supply,$22.50," Waterproof 5M RGB 300LED Flexible LED Strip with RGB connector
 Voltage: DC12V
 Can cut each 3leds sections
 Color: RGB 5050SMD RGB reel flexible board","Specifications:
-Led Strip
-Color: RGB 
-LED Type: 5050 PLCC-6 SMT SMD LED (IP65 Waterproof) 
-LED Quantity: 300 leds/5 Meter or 60 leds/Meter
-Size: L500cm (5M) x W1.4cm x T0.3cm 
-Package: 1 X 5 Meters / Roll
-View angle:120°
-Working Input Voltage: 12VDC
-Output power: 72W /5 Meter 
-Working Tempreture:-20° to 50°
-Drive Mode:Contant Voltage 
24Key IR Remote Controller 
-Type:24Key Remote Controller 
- Connection mode: Common Anode(+)
- Input/Output: 12V
- Max load current: 2A each color
- Output: three CMOS drain-open output
- Working Temperature: -20°C-60°C
- Mode & Pattern: 
- 16 colors, 5 light pattern: Static/Flash/Strobe/Fade-change/RGB Smooth-change
- 16-classes Static Mode Dim Control
- 16-Speeds Control in Flash / Strobe / Fade-change / RGB Smooth-change
Features: 
*Low power consumption,Super-bright but running with low temperature
*All the light spread and completely smooth,luminous very even
*Every 3-LEDS cuttable without damaging the rest strips, according to your requirement
*Self-adhesive back with Adhesive tape for secure and easy application
*LED Type: High Quality 5050 SMD LED, high intensity and reliability, Long lifespan >50,000 hours
Package Contect: 
1x 5 meter (500CM) 5050 RGB 300leds Flash SMD LED. 

1x IR Control Box 

1x 24 key remote control 

1x Power Supply"
